genes	X4R07C00CMN09NSFBV	X4R08C69DMN09NSFBV	X4R16C59DMN09NSFBV	FN_2R14C31CMN09NSFBV	FN_2R25C06CMN09NSFBV	FN_6R42C96DMN09NSFBV	M92.220.01	M92.220.02	M92.220.05	M92.220.06	M92.220.07
GmISU01.10G052100.v2.1	9.72352077559147	8.13810400544306	8.19831778995141	8.25262875017872	8.83496919577028	9.68180165907485	8.97591810864045	9.31087733537664	11.185231794961	10.5512994966432	10.3022567494649
GmISU01.10G052300.v2.1	8.01691971783918	7.8014648395826	7.62773632591744	7.90197793842662	8.0780721182939	8.23297270533628	7.264828430947	7.33090714138847	8.54813132015153	8.70821588043506	8.36146936086169
GmISU01.10G053000.v2.1	2.21614685086223	3.11594066294778	0.977384054633652	1.80707174710563	3.46762736682825	0.977384054633652	2.22650957483033	0.977384054633652	0.977384054633652	0.977384054633652	0.977384054633652
GmISU01.10G053400.v2.1	3.32217901439923	4.35017398363715	3.55573457534148	3.66469205342074	2.70393782647784	0.977384054633652	3.12873391605106	2.30492447788489	2.74679177032776	3.15492053076738	2.59822913173228
GmISU01.10G054400.v2.1	0.977384054633652	2.41120158879958	0.977384054633652	2.71372990914431	0.977384054633652	0.977384054633652	1.73311470228689	0.977384054633652	0.977384054633652	0.977384054633652	2.0043793084403
GmISU01.10G054600.v2.1	0.977384054633652	3.77556371331475	3.29296523134822	3.47915526204486	2.70393782647784	3.04254643194337	2.88579195752019	2.68429760172033	3.7894405170609	3.75832547063225	0.977384054633652
GmISU01.10G056400.v2.1	5.48577278460783	6.07252051294564	5.82770148272477	5.7134974381209	5.70001393882839	5.14615903229364	6.12405252013807	5.90528122511285	5.55552737986409	5.65920598558433	6.19934421300883
GmISU01.10G056500.v2.1	2.8726561438952	3.58733266620391	3.77793763697169	3.47915526204486	3.46762736682825	3.63457080821104	3.82465512956352	3.79274992115207	3.18331123426228	4.1824965279748	4.02429934401108
GmISU01.10G056700.v2.1	6.58022756530655	6.14260994468215	6.01408134268697	6.59775451156754	5.70001393882839	6.48794570795605	5.77703991305822	5.90528122511285	6.79526853114438	6.56186724597179	6.67368420689923
GmISU01.10G057400.v2.1	4.54780874336661	4.09128938824999	4.55507170760377	4.95637688336004	3.46762736682825	5.38136531269275	4.38864907973365	4.41212414091614	6.28285250091108	5.84480777620112	5.19788324679724
GmISU01.10G057800.v2.1	7.11402646855887	6.55614702737219	6.25505233883237	6.7491043363059	6.73535031537274	7.27195079448829	6.75090434054135	6.89946062087258	7.1726172787293	7.54675530737262	7.17988598162857
GmISU01.10G057900.v2.1	0.977384054633652	2.8061820280856	2.55705939782261	2.71372990914431	3.46762736682825	3.36871579887852	1.73311470228689	2.30492447788489	3.18331123426228	0.977384054633652	3.01768984579888
GmISU01.10G058500.v2.1	5.98991226448969	6.58160310694292	6.46147600656384	5.90989042383177	6.85351020134742	6.45395195724082	6.42648855487699	6.41277403185792	6.32614070487917	6.10927970255214	6.23891204224289
GmISU01.10G058900.v2.1	8.61802127085642	8.62799611653302	8.7109502161502	8.54635890062979	8.61838999939564	7.89578465509825	8.34849221688608	8.25345191687085	8.17462976156808	8.02783520291802	7.99624280321362
GmISU01.10G059700.v2.1	4.37240906626397	4.56959492945012	4.55507170760377	4.63953356511867	4.62663362854934	5.70413277803864	4.47911585618554	4.91685245350731	4.54311874407048	3.98594414630553	4.83447766484522
GmISU01.10G059800.v2.1	2.8726561438952	3.11594066294778	3.29296523134822	1.80707174710563	0.977384054633652	0.977384054633652	2.22650957483033	2.68429760172033	0.977384054633652	0.977384054633652	0.977384054633652
