GeneName	Bert-01	Bert-02	Bert-03	Bert-04	Bert-05	WTP0579-16	WTP0579-18	WTP0579-26	WTP0579-32
GmISU01.01G027400	0	0	0	0	0	0	0	0	0
GmISU01.01G027500	0	0	0	0	0	0	0	0	0
GmISU01.01G027600	8	12	2	7	7	6	3	9	4
GmISU01.01G027700	0	0	0	0	0	0	0	0	0
GmISU01.01G027750	0	0	0	0	0	0	0	0	0
GmISU01.01G027800	0	1	0	2	2	0	5	1	0
GmISU01.01G027900	73	138	79	48	118	59	86	71	86
GmISU01.01G028000	0	0	0	0	0	0	0	0	0
GmISU01.01G028100	0	0	0	0	0	0	0	0	0
GmISU01.01G028200	0	0	0	0	0	0	0	0	0
GmISU01.01G028300	0	0	0	0	0	0	0	0	0
GmISU01.01G028400	3	1	5	0	5	2	7	7	8
GmISU01.01G028500	0	0	0	0	0	0	0	0	0
GmISU01.01G028600	21	84	45	2	27	19	8	8	13
GmISU01.01G028700	0	0	0	0	0	0	0	0	0
GmISU01.01G028800	0	0	0	0	0	0	0	0	0
GmISU01.01G028850	0	0	0	0	0	0	0	0	0
GmISU01.01G028900	0	0	0	0	0	0	0	0	0
GmISU01.01G029000	0	0	0	0	0	0	0	0	0
GmISU01.01G029100	0	0	0	0	0	0	0	0	0
GmISU01.01G029200	27	35	27	26	29	38	41	28	29
GmISU01.01G029300	1	0	1	0	0	0	0	0	1
GmISU01.01G029400	0	0	0	1	0	0	0	1	0
GmISU01.01G029500	0	0	0	0	0	0	0	0	0
GmISU01.01G029600	2	2	3	1	2	17	7	8	3
GmISU01.01G029700	0	0	0	0	0	0	0	0	0
GmISU01.01G029800	0	0	0	0	0	0	0	0	0
GmISU01.01G029900	0	0	0	0	0	0	0	0	0
GmISU01.01G030000	0	0	0	1	1	0	1	0	1
GmISU01.01G030100	0	0	0	0	0	0	0	0	0
GmISU01.01G030200	1	0	0	0	0	0	0	0	0
GmISU01.01G030300	28	56	25	53	49	28	38	33	50
GmISU01.01G030400	0	0	0	0	0	0	0	0	0
GmISU01.01G030500	24	43	11	55	27	18	15	22	14
GmISU01.01G030600	19	20	18	11	27	21	23	16	14
GmISU01.01G030700	0	0	0	0	0	0	0	0	0
GmISU01.01G030800	0	0	1	0	0	0	0	0	0
GmISU01.01G030900	1	0	0	5	1	2	2	5	3
GmISU01.01G031000	0	0	0	0	0	0	0	0	0
GmISU01.01G031100	6	7	11	14	15	23	27	31	30
GmISU01.01G031200	0	0	0	0	0	0	0	0	0
GmISU01.01G031300	0	0	0	0	0	0	0	0	0
GmISU01.01G031400	0	0	0	0	0	0	0	0	0
GmISU01.01G031500	1	0	0	0	0	0	0	0	0
GmISU01.01G031600	0	0	0	0	0	0	0	0	0
GmISU01.01G031700	0	0	0	0	0	0	0	0	0
GmISU01.01G031800	0	0	0	0	0	0	0	0	0
GmISU01.01G031900	0	0	0	0	0	0	0	0	0
GmISU01.01G032000	0	0	0	0	0	0	0	0	0
GmISU01.01G032100	0	0	0	0	0	0	0	0	0
GmISU01.01G032200	0	2	3	0	0	1	0	0	0
GmISU01.01G032250	2	3	2	2	1	0	4	4	0
GmISU01.01G032300	0	0	0	0	0	0	0	0	0
GmISU01.01G032400	0	0	0	0	0	0	0	0	0
GmISU01.01G032500	0	0	0	0	0	0	0	0	0
GmISU01.01G032600	0	0	0	0	0	0	0	0	0
GmISU01.01G032700	0	0	0	0	0	0	0	0	0
GmISU01.01G032800	0	0	0	0	0	0	0	0	0
GmISU01.01G032900	0	2	0	0	0	0	1	0	2
GmISU01.01G033000	0	0	0	0	0	0	0	0	0
GmISU01.01G033100	0	0	0	0	0	0	0	0	0
GmISU01.01G033200	0	0	0	0	0	0	0	0	0
GmISU01.01G033300	0	0	0	0	0	0	0	0	0
GmISU01.01G033400	4	5	5	2	6	6	0	6	5
GmISU01.01G033500	0	0	0	0	0	0	0	0	0
GmISU01.01G033600	0	0	0	0	0	0	0	0	0
GmISU01.01G033700	0	0	0	0	0	0	0	0	0
GmISU01.01G033800	0	0	0	0	0	0	0	0	0
GmISU01.01G033900	0	0	1	0	0	1	1	0	0
GmISU01.01G034000	0	0	0	0	0	0	0	0	0
GmISU01.01G034100	0	0	0	0	0	0	0	0	0
GmISU01.01G034200	0	0	0	0	0	0	0	0	0
GmISU01.01G034300	0	0	0	0	0	0	0	0	0
GmISU01.01G034400	4	2	12	4	3	11	4	6	6
GmISU01.01G034500	0	0	0	0	0	0	0	0	0
GmISU01.01G034600	0	0	0	0	0	0	0	0	0
GmISU01.01G034700	30	77	50	21	52	53	46	53	60
GmISU01.01G034800	0	0	0	0	0	0	0	0	0
GmISU01.01G034900	4	3	12	6	5	11	5	3	3
GmISU01.01G035001	0	0	0	0	0	0	0	0	0
GmISU01.01G035100	0	0	0	0	0	0	0	0	0
GmISU01.01G035200	0	0	2	0	2	0	0	2	0
GmISU01.01G035300	5	4	6	7	9	12	14	16	22
GmISU01.01G035400	0	0	0	0	0	0	0	0	0
GmISU01.01G035500	0	0	0	0	0	0	0	0	0
GmISU01.01G035600	0	0	0	0	0	0	0	0	0
GmISU01.01G035700	0	0	0	0	0	0	0	0	0
GmISU01.01G035800	0	0	0	0	0	0	0	0	0
GmISU01.01G035900	0	0	0	0	0	0	0	0	0
GmISU01.01G036000	0	0	0	0	0	0	0	0	0
GmISU01.01G036100	0	0	0	0	0	0	0	0	0
GmISU01.01G036200	0	0	0	0	0	0	0	0	0
GmISU01.01G036300	0	0	0	0	0	0	0	0	0
GmISU01.01G036400	0	0	0	0	0	0	0	0	0
GmISU01.01G036500	0	0	0	0	0	0	0	0	0
GmISU01.01G036600	0	0	0	0	0	0	0	0	0
GmISU01.01G036700	0	0	1	0	0	0	0	0	0
GmISU01.01G036800	0	0	0	0	0	0	0	0	0
GmISU01.01G036900	0	0	0	0	0	0	0	0	0
GmISU01.01G037000	68	84	66	55	87	78	71	110	87
GmISU01.01G037100	0	0	0	0	0	0	0	0	0
GmISU01.01G037200	0	0	0	0	0	0	0	0	0
GmISU01.01G037300	0	0	0	0	0	0	0	0	0
GmISU01.01G037400	139	250	120	59	172	109	121	117	129
GmISU01.01G037500	0	2	0	3	1	0	5	0	0
GmISU01.01G037600	0	0	0	0	0	0	0	0	0
GmISU01.01G037700	0	0	0	0	0	0	0	0	0
GmISU01.01G037800	0	0	0	0	0	0	0	0	0
GmISU01.01G037900	16	33	33	7	17	11	19	15	26
GmISU01.01G038000	0	1	2	0	0	0	1	0	1
GmISU01.01G038100	0	0	0	0	0	0	0	0	0
GmISU01.01G038200	3	7	7	7	11	8	6	13	10
GmISU01.01G038300	0	0	0	0	0	0	0	0	0
GmISU01.01G038400	38	69	68	23	51	19	26	45	40
GmISU01.01G038450	0	0	0	0	0	0	0	0	0
GmISU01.01G038500	0	0	0	0	0	0	0	0	0
GmISU01.01G038600	0	0	0	0	0	0	0	0	0
GmISU01.01G038700	100	46	70	54	155	97	70	57	115
GmISU01.01G038800	0	0	0	0	0	0	0	0	0
GmISU01.01G038900	25	49	60	39	33	34	48	28	16
GmISU01.01G039000	0	0	0	0	0	0	0	0	0
GmISU01.01G039100	0	0	0	0	0	0	0	0	0
GmISU01.01G039200	54	73	24	35	60	49	50	54	28
GmISU01.01G039300	0	0	0	0	0	0	0	0	0
GmISU01.01G039400	0	0	0	0	0	0	0	0	1
GmISU01.01G039500	0	0	0	0	0	0	0	0	0
GmISU01.01G039600	0	0	0	0	0	0	0	0	0
GmISU01.01G039701	0	0	0	0	0	0	0	0	0
GmISU01.01G039800	0	0	0	0	0	0	0	0	0
GmISU01.01G039900	0	0	0	0	0	0	0	0	0
GmISU01.01G040000	0	0	0	0	0	0	0	0	0
GmISU01.01G040100	0	0	0	0	0	0	0	0	0
GmISU01.01G040200	0	0	0	0	0	0	0	1	0
GmISU01.01G040300	1	0	1	0	0	0	1	1	0
GmISU01.01G040400	0	0	0	0	0	0	0	0	0
GmISU01.01G040500	0	0	0	0	0	0	0	0	0
GmISU01.01G040600	1	0	0	0	2	0	0	1	2
GmISU01.01G040700	0	0	0	0	0	0	0	0	0
GmISU01.01G040800	4	4	3	12	9	11	10	7	5
GmISU01.01G040900	1	0	1	2	2	2	1	2	0
GmISU01.01G041000	0	0	0	0	0	0	0	0	0
GmISU01.01G041100	0	0	0	0	0	0	0	0	0
GmISU01.01G041200	0	0	0	0	0	0	0	0	0
GmISU01.01G041300	0	0	0	0	0	0	0	0	0
GmISU01.01G041400	0	0	0	0	0	0	0	0	0
GmISU01.01G041500	0	0	0	0	0	0	0	0	0
GmISU01.01G041600	0	0	0	0	0	0	0	0	0
GmISU01.01G041700	0	0	0	0	0	0	0	0	0
GmISU01.01G041800	0	0	0	0	0	0	0	0	0
GmISU01.01G041900	55	80	39	56	61	41	41	71	31
GmISU01.01G042000	0	0	0	0	0	0	0	0	0
GmISU01.01G042100	93	100	49	86	101	69	116	106	114
GmISU01.01G042150	0	0	0	0	0	0	0	0	0
GmISU01.01G042200	0	0	0	0	0	0	0	0	0
GmISU01.01G042300	0	0	0	0	0	0	0	0	0
GmISU01.01G042400	0	0	1	0	0	0	0	0	0
GmISU01.01G042500	0	0	0	0	0	0	0	0	0
GmISU01.01G042600	0	0	0	0	0	0	0	0	0
GmISU01.01G042700	4	3	5	2	3	0	2	2	3
GmISU01.01G042800	0	0	0	0	0	0	0	0	0
GmISU01.01G042900	0	0	0	0	0	0	0	0	0
GmISU01.01G043000	0	0	0	0	0	0	0	0	0
GmISU01.01G043100	0	0	0	0	0	0	0	0	0
GmISU01.01G043200	41	46	26	39	61	42	39	40	34
GmISU01.01G043250	0	0	0	0	0	0	0	0	0
GmISU01.01G043300	1	0	0	0	0	1	2	0	1
GmISU01.01G043400	1	3	0	2	4	1	2	0	2
