genes	Bert.01	Bert.02	Bert.03	Bert.04	Bert.05	WTP0579.16	WTP0579.18	WTP0579.26	WTP0579.32
GmISU01.12G056700.v2.1	0.562771745184491	3.50900355495279	3.0605390878773	2.89756862739078	2.44877368660308	1.61701352510528	2.57489922328341	3.13357285099823	4.30941798092936
GmISU01.12G056900.v2.1	5.34015808117011	3.19894737174636	4.85499594637143	6.34231140507467	5.22183187559878	4.83349884203926	5.57841728602006	5.54629593678535	5.61122654569837
GmISU01.12G057700.v2.1	0.562771745184491	2.25688429486715	3.28036110496849	0.562771745184491	0.562771745184491	0.562771745184491	2.15851924980558	0.562771745184489	2.18125335944731
GmISU01.12G058100.v2.1	3.96996950005849	3.76406872895644	4.85499594637143	3.74698833912404	4.50567792908184	5.18838028716465	4.1625429305583	4.63423033983255	4.85810197505835
GmISU01.12G058300.v2.1	4.50887470552264	1.8792178990583	1.51108951230996	4.41902688371487	3.5965625090272	4.2456699325774	4.82600130671175	4.63423033983255	3.92976904938162
GmISU01.12G058800.v2.1	2.32924607730979	3.01472281386774	0.562771745184489	3.5153536068858	2.44877368660308	2.64338834246888	3.57691059520499	3.54789861841894	0.562771745184489
GmISU01.12G059100.v2.1	4.61713384103015	3.64216568301354	3.63949683930795	4.27804991517054	3.42886647238243	3.98091294385994	4.48473887224272	4.63423033983255	4.06772071070557
GmISU01.12G059200.v2.1	3.79662187458695	3.64216568301354	4.27262229981969	4.66536246815407	4.22760491714557	4.11935631323593	3.16120295014934	3.86939950559177	3.77721804312662
GmISU01.12G059400.v2.1	10.2276591083969	12.6270141681221	11.3263677976599	7.07584951390513	10.4936388411137	10.7419968210153	9.18250423257389	9.86546021233086	10.5914245899354
GmISU01.12G059500.v2.1	0.562771745184491	0.562771745184491	2.48453710804054	0.562771745184491	0.562771745184491	0.562771745184491	2.15851924980558	0.562771745184489	1.58798380713049
GmISU01.12G059700.v2.1	7.30015379307417	7.55087488681855	6.45919241918865	7.60477956369949	7.67652285323274	7.00787141235209	7.0865373413663	7.03780452092558	7.3804963039155
GmISU01.12G060200.v2.1	1.70100136620478	0.562771745184491	0.562771745184489	2.89756862739078	2.44877368660308	2.21961270304365	0.562771745184489	2.87110757795101	3.41308135098423
