genes	NMU_14204	NMU_16331	NMU_20728	NMU_20732	Williams.82.ISU.01.01	Williams.82.ISU.01.02	Williams.82.ISU.01.03	Williams.82.ISU.01.04	Williams.82.ISU.01.05
GmISU01.13G325000.v2.1	5.63585781203711	5.29457600985446	5.80431774425488	5.64409368088775	4.88164494258369	4.97161682268417	4.90504992097756	4.97572522813679	4.08455256318797
GmISU01.13G325200.v2.1	0.814959520703223	1.94185777511269	2.91803121664756	3.11302709621551	1.72214605455793	2.44927528264763	0.814959520703223	1.69803618169234	2.56229714348927
GmISU01.13G325400.v2.1	7.46086492660354	5.44009797306017	7.57886092201779	7.68820157231282	6.62615393932809	6.27898265941519	7.50733390943262	2.6358176222957	4.65879368596367
GmISU01.13G325500.v2.1	4.55834175130718	4.20330014644115	3.934515995546	3.72760485792478	4.22492486975799	3.46135423596199	3.66980774463576	3.76998097994359	4.08455256318797
GmISU01.13G325800.v2.1	2.6134470484528	1.94185777511269	2.91803121664756	3.11302709621551	3.64839463719292	2.44927528264763	2.69145944521611	2.24181919763128	2.56229714348927
GmISU01.13G326400.v2.1	2.6134470484528	4.03020469659892	2.91803121664756	3.11302709621551	3.45934835562093	2.44927528264763	2.29067796972423	2.6358176222957	2.17761985196767
GmISU01.13G326500.v2.1	3.38957141468633	1.94185777511269	0.814959520703225	0.814959520703223	0.814959520703223	0.814959520703223	0.814959520703223	2.24181919763128	0.814959520703225
GmISU01.13G327700.v2.1	0.814959520703223	1.94185777511269	0.814959520703225	0.814959520703223	2.98537771883598	0.814959520703223	2.29067796972423	0.814959520703223	1.65152577034286
GmISU01.14G000300.v2.1	3.89146057719422	4.4974059228876	4.10626106575415	5.08428700014039	3.45934835562093	4.20312323632053	4.4677829605994	4.39702832723163	5.12668591646449
GmISU01.14G000500.v2.1	1.97799237537085	0.814959520703225	2.91803121664756	3.45279719884277	3.64839463719292	3.46135423596199	3.48027573253881	4.75542436501781	4.40005739712684
GmISU01.14G000800.v2.1	7.27027644963612	7.054985383204	6.9932428562071	7.05225038674307	7.31144160237836	7.45747239333726	7.62651172440573	7.38052273139807	7.30351957027713
GmISU01.14G001000.v2.1	4.26309587558874	5.75028615270719	5.0306304088411	5.50503630790112	6.27090637123446	6.37863207302707	6.40599138711261	6.27634126144611	5.79891050223677
GmISU01.14G001300.v2.1	0.814959520703223	0.814959520703225	0.814959520703225	2.02034907676498	2.27479467644525	1.85213184319396	1.73381173821494	2.94497340765818	0.814959520703225
GmISU01.14G001600.v2.1	3.89146057719422	0.814959520703225	2.91803121664756	3.45279719884277	2.67339970436879	3.46135423596199	1.73381173821494	2.24181919763128	1.65152577034286
GmISU01.14G001700.v2.1	6.40270005970165	6.37480601884448	6.72981496828433	6.40039772733285	6.71342842362459	6.27898265941519	5.86206074742917	5.53354730422478	5.72542379287076
GmISU01.14G002200.v2.1	2.6134470484528	1.94185777511269	0.814959520703225	2.02034907676498	3.45934835562093	2.87036489991488	0.814959520703223	2.94497340765818	1.65152577034286
GmISU01.14G002600.v2.1	4.91177780027909	4.84975028739931	4.52493182855214	3.95834830923813	4.80423835277852	5.5293607652999	5.51190455591036	5.10587730872973	4.19756267885223
GmISU01.14G002700.v2.1	8.54910230118065	8.58083456950098	8.8144441189357	8.20871372766029	8.89040170973941	9.068032657287	8.89158482321842	8.13444375047595	8.46871930977511
GmISU01.14G003300.v2.1	1.97799237537085	1.94185777511269	2.91803121664756	0.814959520703223	2.27479467644525	4.20312323632053	1.73381173821494	4.29155517478502	4.40005739712684
GmISU01.14G003400.v2.1	5.27882422358529	7.54785208521453	5.33694468475573	4.15722508886052	5.6735527347421	7.05730096638762	5.29875295053938	8.93792255684606	8.43454042421793
GmISU01.14G003500.v2.1	2.6134470484528	3.83347306327574	4.25971856278631	3.72760485792478	2.98537771883598	2.44927528264763	3.00476581390301	0.814959520703223	2.17761985196767
GmISU01.14G003600.v2.1	4.80330985104082	4.95036460725226	5.11351846581159	4.75662439309698	5.27499640267791	5.05431355173545	4.65885880817931	3.41566349431489	3.32965453223682
GmISU01.14G003900.v2.1	0.814959520703223	3.33489092365518	4.25971856278631	2.66775363795292	3.24174040737385	3.19591211639538	3.66980774463576	2.24181919763128	2.56229714348927
GmISU01.14G004200.v2.1	0.814959520703223	0.814959520703225	2.49189828077695	2.02034907676498	2.67339970436879	0.814959520703223	2.69145944521611	1.69803618169234	2.17761985196767
GmISU01.14G004400.v2.1	1.97799237537085	5.36917103033872	4.74887856617667	3.11302709621551	4.72244193211112	5.20671532473381	3.66980774463576	6.03625979853887	6.03011611777409
GmISU01.14G004800.v2.1	0.814959520703223	0.814959520703225	2.49189828077695	2.66775363795292	2.27479467644525	2.44927528264763	2.29067796972423	2.6358176222957	0.814959520703225
GmISU01.14G006300.v2.1	2.6134470484528	3.83347306327574	3.51400447235563	3.11302709621551	3.64839463719292	3.46135423596199	4.24748019481612	3.19942968563267	0.814959520703225
GmISU01.14G006400.v2.1	6.67310794615113	6.05147123888418	6.43978354130818	6.54939306386449	6.0870402149029	5.97372657068749	6.77963835976418	5.66606087744914	5.9677500611733
GmISU01.14G006900.v2.1	5.10694253045919	5.36917103033872	6.30520076562473	5.99534103643332	5.75808748903663	5.27727548157039	5.97417743282358	5.66606087744914	6.22933593880973
GmISU01.14G007000.v2.1	5.69776716274523	2.56675490632399	4.64124619358918	5.88748905454149	0.814959520703223	2.44927528264763	1.73381173821494	0.814959520703223	2.56229714348927
GmISU01.14G007100.v2.1	6.11572681954232	6.54535577366437	5.90082236896845	6.23422362535504	6.24184361161337	6.53079438749424	6.40599138711261	6.43335504838811	6.06031643791224
GmISU01.14G007300.v2.1	5.01265783595909	5.50770073588526	5.33694468475573	4.87430989044026	5.48799408114649	4.34128053264344	3.48027573253881	5.93482069316151	5.0077442046341
GmISU01.14G007400.v2.1	3.66223166372497	1.94185777511269	4.94268828338186	3.72760485792478	2.67339970436879	0.814959520703223	2.69145944521611	0.814959520703223	2.86569762974355
GmISU01.14G007600.v2.1	5.97280157143813	6.1393479534353	6.83125837758104	5.83038066469316	5.79856712880087	6.05630584868905	6.00969362091504	5.53354730422478	4.80864290945244
GmISU01.14G007800.v2.1	2.6134470484528	3.60561383250179	0.814959520703225	2.02034907676498	1.72214605455793	2.87036489991488	2.69145944521611	3.19942968563267	2.56229714348927
GmISU01.14G008100.v2.1	3.38957141468633	0.814959520703225	0.814959520703225	3.45279719884277	3.24174040737385	3.19591211639538	3.48027573253881	2.6358176222957	1.65152577034286
GmISU01.14G008500.v2.1	7.38762238138736	7.46524320267389	7.23455356123021	7.17201365627095	7.29738593838759	7.24504927843627	7.14164677756617	7.32814314150556	7.5254202584731
GmISU01.14G008900.v2.1	2.6134470484528	1.94185777511269	1.88448558073144	3.11302709621551	3.45934835562093	2.87036489991488	3.48027573253881	2.24181919763128	2.56229714348927
GmISU01.14G009000.v2.1	1.97799237537085	3.00135269766607	2.91803121664756	2.66775363795292	2.67339970436879	0.814959520703223	2.69145944521611	2.24181919763128	3.11624677414631
GmISU01.14G009500.v2.1	2.6134470484528	3.60561383250179	2.91803121664756	3.72760485792478	2.67339970436879	3.19591211639538	3.26202364383202	2.6358176222957	3.32965453223682
GmISU01.14G009800.v2.1	0.814959520703223	0.814959520703225	0.814959520703225	0.814959520703223	0.814959520703223	0.814959520703223	0.814959520703223	3.41566349431489	2.17761985196767
GmISU01.14G009900.v2.1	4.0892118479286	4.95036460725226	4.39841096350544	3.11302709621551	3.81551435512675	3.87939573774479	2.69145944521611	4.39702832723163	4.08455256318797
GmISU01.14G010200.v2.1	9.36671232221004	7.67091242296877	9.24961089688721	9.31263054263264	8.66264819259303	7.9858799440611	9.51548427360179	5.28143041317322	6.81188098920727
GmISU01.14G010600.v2.1	3.05308305151793	1.94185777511269	3.7395274501739	0.814959520703223	0.814959520703223	1.85213184319396	0.814959520703223	0.814959520703223	0.814959520703225
GmISU01.14G011100.v2.1	10.1927174116497	10.558027330809	10.1961536305566	10.1909667952485	10.4966115674001	10.7369157055423	10.4261050789308	10.9846173381357	10.7118719142023
GmISU01.14G011200.v2.1	3.05308305151793	3.83347306327574	3.7395274501739	3.95834830923813	2.98537771883598	2.87036489991488	3.26202364383202	0.814959520703223	2.56229714348927
GmISU01.14G011450.v2.1	5.27882422358529	5.44009797306017	5.40434069689653	5.1788264780907	5.2164430267594	4.79048145612509	4.4677829605994	5.16679964509315	4.08455256318797
GmISU01.14G011600.v2.1	6.73347181986867	5.36917103033872	6.03445896117469	6.54939306386449	6.35473877770219	5.74388119494976	6.14361163720017	5.62322797243498	4.87810816493631
GmISU01.14G011800.v2.1	2.6134470484528	1.94185777511269	1.88448558073144	0.814959520703223	2.27479467644525	0.814959520703223	3.00476581390301	3.76998097994359	2.86569762974355
GmISU01.14G012200.v2.1	3.89146057719422	4.35783459165809	2.91803121664756	5.1788264780907	4.22492486975799	3.68546399599789	4.74567499931009	3.41566349431489	4.19756267885223
GmISU01.14G012500.v2.1	0.814959520703223	0.814959520703225	3.24657584356201	0.814959520703223	1.72214605455793	0.814959520703223	0.814959520703223	0.814959520703223	0.814959520703225
GmISU01.14G012600.v2.1	1.97799237537085	0.814959520703225	1.88448558073144	0.814959520703223	1.72214605455793	0.814959520703223	0.814959520703223	2.6358176222957	0.814959520703225
GmISU01.14G012900.v2.1	1.97799237537085	3.00135269766607	3.24657584356201	2.66775363795292	3.64839463719292	3.46135423596199	3.26202364383202	0.814959520703223	1.65152577034286
GmISU01.14G013000.v2.1	1.97799237537085	1.94185777511269	1.88448558073144	0.814959520703223	2.67339970436879	2.44927528264763	0.814959520703223	1.69803618169234	2.86569762974355
GmISU01.14G013200.v2.1	3.38957141468633	3.83347306327574	4.39841096350544	4.48783259022432	4.54346620903208	5.13252590881392	3.98736623114689	2.6358176222957	3.51552420148218
GmISU01.14G014100.v2.1	1.97799237537085	1.94185777511269	0.814959520703225	0.814959520703223	2.98537771883598	0.814959520703223	1.73381173821494	2.24181919763128	1.65152577034286
GmISU01.14G014400.v2.1	0.814959520703223	0.814959520703225	0.814959520703225	3.45279719884277	1.72214605455793	1.85213184319396	3.00476581390301	2.6358176222957	0.814959520703225
GmISU01.14G014600.v2.1	1.97799237537085	1.94185777511269	0.814959520703225	0.814959520703223	3.45934835562093	2.87036489991488	2.29067796972423	1.69803618169234	2.17761985196767
GmISU01.14G014800.v2.1	6.54423015295676	6.93733095546802	6.78142811617785	6.77801228526477	6.73444635866503	6.79406759191817	6.45834187289718	6.82221821936511	6.99501425578312
GmISU01.14G014900.v2.1	7.09730961536648	6.47953499726784	6.9932428562071	6.94872337382066	7.31144160237836	7.05730096638762	7.30779100769084	6.24842684531075	6.86417557897427
GmISU01.14G015000.v2.1	3.38957141468633	1.94185777511269	1.88448558073144	2.66775363795292	4.22492486975799	2.87036489991488	1.73381173821494	2.24181919763128	2.17761985196767
GmISU01.14G015100.v2.1	1.97799237537085	1.94185777511269	2.91803121664756	0.814959520703223	2.67339970436879	1.85213184319396	1.73381173821494	2.24181919763128	0.814959520703225
GmISU01.14G015400.v2.1	6.43940537213626	6.51282072457027	6.26949762236654	6.36061395146234	6.50906830717531	5.05431355173545	5.82266496953452	5.62322797243498	6.17516683087698
GmISU01.14G015900.v2.1	0.814959520703223	3.60561383250179	3.24657584356201	2.66775363795292	4.10093079770728	4.05032068496525	2.29067796972423	5.28143041317322	4.49155650786549
GmISU01.14G016000.v2.1	7.72149625335966	7.67091242296877	7.78256678373226	7.82604738512898	7.77414121819043	8.05779826795693	7.59178057350647	7.49185464459067	8.0466702872679
