GeneName	NMU_14204	NMU_16331	NMU_20728	NMU_20732	Williams-82-ISU-01-01	Williams-82-ISU-01-02	Williams-82-ISU-01-03	Williams-82-ISU-01-04	Williams-82-ISU-01-05
GmISU01.01G028700	0	0	0	0	0	0	0	0	0
GmISU01.01G028800	0	0	0	0	0	0	0	0	0
GmISU01.01G028850	0	0	0	0	0	0	0	0	0
GmISU01.01G028900	0	0	0	0	0	0	0	0	0
GmISU01.01G029000	0	0	0	0	0	0	0	0	0
GmISU01.01G029100	0	0	0	0	0	0	0	0	0
GmISU01.01G029200	25	24	42	37	35	20	41	26	32
GmISU01.01G029300	1	1	0	0	0	0	0	0	0
GmISU01.01G029400	0	0	1	1	0	0	1	0	0
GmISU01.01G029500	0	0	0	0	0	0	0	0	0
GmISU01.01G029600	3	0	1	1	9	1	5	10	5
GmISU01.01G029700	0	0	0	0	0	0	0	0	0
GmISU01.01G029800	0	0	0	0	0	0	0	0	0
GmISU01.01G029900	0	0	0	0	0	0	0	0	0
GmISU01.01G030000	0	1	0	1	1	0	0	1	0
GmISU01.01G030100	0	0	0	0	0	0	0	0	0
GmISU01.01G030200	0	0	0	0	0	0	0	0	0
GmISU01.01G030300	36	39	2	38	54	31	79	37	52
GmISU01.01G030400	0	0	0	0	0	0	0	0	0
GmISU01.01G030500	74	61	65	84	34	12	56	16	27
GmISU01.01G030600	11	16	8	9	18	16	17	11	19
GmISU01.01G030700	0	1	0	0	0	0	0	0	0
GmISU01.01G030800	0	0	0	0	0	0	0	0	0
GmISU01.01G030900	1	0	1	0	5	2	3	0	0
GmISU01.01G031000	0	0	0	0	0	0	0	0	0
GmISU01.01G031100	16	5	11	13	30	26	12	4	12
GmISU01.01G031200	0	0	0	0	0	1	0	0	0
GmISU01.01G031300	0	0	0	0	0	0	0	0	0
GmISU01.01G031400	0	0	0	0	0	1	0	0	0
GmISU01.01G031500	0	0	0	0	0	0	0	1	1
GmISU01.01G031600	0	0	0	0	0	0	0	0	0
GmISU01.01G031700	0	0	0	0	0	0	0	0	0
GmISU01.01G031800	0	0	0	0	0	0	0	0	0
GmISU01.01G031900	0	0	0	0	0	0	0	0	0
GmISU01.01G032000	0	0	0	0	0	0	0	0	0
GmISU01.01G032100	0	0	0	0	0	0	0	0	0
GmISU01.01G032200	0	1	0	0	1	1	0	0	1
GmISU01.01G032250	1	0	3	5	4	2	3	0	4
GmISU01.01G032300	0	0	0	0	0	0	0	0	0
GmISU01.01G032400	0	0	0	0	0	0	0	0	0
GmISU01.01G032500	0	0	0	0	0	0	0	0	0
GmISU01.01G032600	0	0	0	0	0	0	0	0	0
GmISU01.01G032700	0	0	0	0	0	0	0	0	0
GmISU01.01G032800	0	0	0	0	0	0	0	0	0
GmISU01.01G032900	0	0	0	1	1	0	1	0	0
GmISU01.01G033000	0	0	0	0	0	0	0	0	0
GmISU01.01G033100	0	0	0	0	0	0	1	0	0
GmISU01.01G033200	0	0	0	0	0	0	0	0	0
GmISU01.01G033300	0	0	0	0	0	0	0	0	0
GmISU01.01G033400	4	2	5	4	12	2	4	5	1
GmISU01.01G033500	0	0	0	0	0	0	0	0	0
GmISU01.01G033600	0	0	0	0	0	0	0	0	0
GmISU01.01G033700	0	0	0	0	0	0	0	0	0
GmISU01.01G033800	0	0	0	0	0	0	0	0	0
GmISU01.01G033900	1	0	0	0	1	0	0	0	0
GmISU01.01G034000	0	0	0	0	0	0	0	0	0
GmISU01.01G034100	0	0	0	0	0	0	0	0	0
GmISU01.01G034200	0	0	0	0	0	0	0	0	0
GmISU01.01G034300	0	0	0	0	0	0	0	0	0
GmISU01.01G034400	2	6	3	2	11	3	4	5	6
GmISU01.01G034500	0	0	0	0	0	0	0	0	0
GmISU01.01G034600	0	0	0	0	0	0	0	0	0
GmISU01.01G034700	45	31	43	33	40	44	65	61	69
GmISU01.01G034800	0	0	0	0	0	0	0	0	0
GmISU01.01G034900	4	4	5	4	6	8	2	1	4
GmISU01.01G035001	0	0	0	0	0	0	0	0	0
GmISU01.01G035100	0	0	0	0	2	0	1	1	0
GmISU01.01G035200	0	0	3	2	2	0	0	1	0
GmISU01.01G035300	3	6	10	9	46	34	38	8	12
GmISU01.01G035400	0	0	0	1	0	0	0	0	0
GmISU01.01G035500	0	1	0	0	0	1	0	0	0
GmISU01.01G035600	0	0	0	0	0	0	0	0	0
GmISU01.01G035700	0	0	0	0	0	0	0	0	0
GmISU01.01G035800	0	0	0	0	0	0	0	0	0
GmISU01.01G035900	0	0	0	0	0	0	0	0	0
GmISU01.01G036000	0	0	0	0	0	0	0	0	0
GmISU01.01G036100	0	0	0	0	0	0	0	0	0
GmISU01.01G036200	0	0	0	0	0	0	0	0	0
GmISU01.01G036300	0	0	0	0	0	0	0	0	0
GmISU01.01G036400	0	0	0	0	0	0	0	0	0
GmISU01.01G036500	0	0	0	0	0	0	0	0	0
GmISU01.01G036600	0	0	0	0	0	0	0	0	0
GmISU01.01G036700	0	0	2	0	0	1	2	0	0
GmISU01.01G036800	0	0	0	0	0	0	0	0	0
GmISU01.01G036900	0	0	0	0	0	0	0	0	0
GmISU01.01G037000	27	25	29	32	69	45	47	56	55
GmISU01.01G037100	0	0	0	0	0	0	0	0	0
GmISU01.01G037200	0	0	0	0	1	2	0	0	0
GmISU01.01G037300	0	0	0	0	0	0	0	0	0
GmISU01.01G037400	121	117	157	92	124	112	99	109	167
GmISU01.01G037500	0	0	1	0	0	1	0	0	0
GmISU01.01G037600	0	0	0	0	0	0	0	0	0
GmISU01.01G037700	0	0	0	0	0	0	0	0	0
GmISU01.01G037800	0	0	0	0	0	0	0	0	0
GmISU01.01G037900	11	17	11	13	21	16	21	27	24
GmISU01.01G038000	0	0	1	0	0	2	0	0	0
GmISU01.01G038100	0	0	0	0	0	0	0	0	0
GmISU01.01G038200	3	3	1	6	16	9	18	7	11
GmISU01.01G038300	0	0	0	0	0	0	0	0	0
GmISU01.01G038400	34	45	43	26	47	88	72	53	50
GmISU01.01G038450	0	0	0	0	0	0	0	0	0
GmISU01.01G038500	0	0	0	0	0	0	0	0	0
GmISU01.01G038600	0	0	0	0	0	0	0	0	0
GmISU01.01G038700	230	23	183	31	246	76	90	30	7
GmISU01.01G038800	0	0	0	0	0	0	0	0	0
GmISU01.01G038900	16	33	47	18	27	16	22	20	27
GmISU01.01G039000	0	1	0	0	0	0	0	0	0
GmISU01.01G039100	0	0	0	0	0	0	0	0	0
GmISU01.01G039200	52	38	73	49	55	24	36	33	34
GmISU01.01G039300	0	0	0	0	0	0	0	0	0
GmISU01.01G039400	0	0	0	0	0	0	0	1	0
GmISU01.01G039500	0	0	0	0	0	0	0	0	0
GmISU01.01G039600	0	0	0	0	0	0	0	0	0
GmISU01.01G039701	0	0	0	0	0	0	0	0	0
GmISU01.01G039800	0	0	0	0	0	0	0	0	0
GmISU01.01G039900	0	0	0	0	0	0	0	1	0
GmISU01.01G040000	0	0	0	0	0	0	0	0	0
GmISU01.01G040100	0	0	0	0	0	0	0	0	0
GmISU01.01G040200	0	0	0	0	0	0	0	0	0
GmISU01.01G040300	1	0	1	0	0	0	0	0	0
GmISU01.01G040400	0	0	0	0	0	0	0	0	0
GmISU01.01G040500	0	0	0	0	0	0	0	0	0
GmISU01.01G040600	1	1	1	2	3	0	0	1	0
GmISU01.01G040700	0	0	0	0	0	0	0	0	0
GmISU01.01G040800	11	6	17	9	13	3	13	4	12
GmISU01.01G040900	0	0	0	0	0	1	0	0	0
GmISU01.01G041000	1	0	0	0	0	0	0	0	0
GmISU01.01G041100	0	0	0	0	0	0	0	0	0
GmISU01.01G041200	0	0	0	0	0	0	0	0	0
GmISU01.01G041300	0	0	0	0	0	0	0	0	0
GmISU01.01G041400	0	0	0	0	0	0	0	0	0
GmISU01.01G041500	0	0	0	0	0	0	0	0	0
GmISU01.01G041600	0	0	0	0	0	0	0	0	0
GmISU01.01G041700	0	0	0	0	0	0	0	0	0
GmISU01.01G041800	0	0	0	0	0	0	0	0	0
GmISU01.01G041900	35	27	45	31	43	28	56	30	63
GmISU01.01G042000	0	0	0	0	0	0	0	0	0
GmISU01.01G042100	78	41	62	69	100	76	118	46	73
GmISU01.01G042150	0	0	0	0	0	0	0	0	0
GmISU01.01G042200	0	0	0	0	0	0	0	0	0
GmISU01.01G042300	0	0	0	0	0	0	0	0	0
GmISU01.01G042400	0	0	0	0	0	0	0	0	0
GmISU01.01G042500	0	0	0	0	0	0	0	0	0
GmISU01.01G042600	0	0	0	0	0	0	0	0	0
GmISU01.01G042700	1	1	0	0	1	1	4	6	0
GmISU01.01G042800	0	0	0	0	0	0	0	0	0
GmISU01.01G042900	0	0	0	0	0	0	0	0	0
GmISU01.01G043000	0	0	0	0	0	0	1	0	0
GmISU01.01G043100	0	0	0	0	0	0	0	0	0
GmISU01.01G043200	34	32	28	15	42	20	48	33	35
GmISU01.01G043250	0	0	0	0	0	0	0	0	0
GmISU01.01G043300	0	0	1	0	0	0	1	1	0
GmISU01.01G043400	0	0	0	2	5	4	0	3	2
GmISU01.01G043500	0	0	0	0	0	0	0	0	3
GmISU01.01G043600	0	0	0	0	0	0	0	0	0
GmISU01.01G043700	0	0	0	0	0	0	0	0	0
GmISU01.01G043800	0	0	0	0	0	0	0	0	0
GmISU01.01G043900	11	14	6	12	31	17	27	45	39
GmISU01.01G044000	0	0	0	0	0	0	0	0	0
GmISU01.01G044100	0	0	0	0	0	0	0	0	0
GmISU01.01G044200	0	0	0	0	0	0	0	0	0
GmISU01.01G044300	0	0	0	0	0	0	0	0	0
GmISU01.01G044400	0	0	0	0	0	0	0	0	0
GmISU01.01G044500	2	0	0	0	0	0	2	0	0
GmISU01.01G044600	0	0	0	0	0	0	0	0	0
GmISU01.01G044700	0	0	0	0	0	0	0	0	0
GmISU01.01G044800	0	0	0	0	0	0	0	0	0
GmISU01.01G044900	3	0	0	2	2	3	2	3	1
GmISU01.01G045000	0	0	0	0	0	0	0	0	0
GmISU01.01G045100	0	0	0	0	0	0	0	0	0
GmISU01.01G045200	0	0	0	0	0	0	0	0	0
GmISU01.01G045300	0	0	0	0	0	0	0	0	0
GmISU01.01G045400	0	0	0	0	0	0	0	0	0
GmISU01.01G045500	0	0	0	0	0	0	0	0	0
GmISU01.01G045600	0	0	0	0	0	0	0	0	0
GmISU01.01G045700	0	0	1	0	0	0	0	0	0
