genes	X3MR_10	X3MR_12	X6MR_2	X6MR_9	Jack.01	Jack.02_B03	Jack.02_B07	Jack.04	Jack.05
GmISU01.20G057500.v2.1	0.730111113151099	3.36379243570929	3.10625448057002	0.730111113151101	0.730111113151099	0.730111113151101	0.730111113151101	2.21166260905705	2.34824134709906
GmISU01.20G057900.v2.1	5.95333498206953	6.68829006304646	6.38716103398794	6.60524389156861	6.46610702827459	6.41799293083747	6.26245279648511	6.43293294162287	6.63672335739566
GmISU01.20G058000.v2.1	0.730111113151099	0.730111113151101	0.730111113151099	0.730111113151101	1.80920772919755	1.62290493616833	2.07206393116335	2.61323655988974	0.730111113151101
GmISU01.20G059300.v2.1	0.730111113151099	1.93269743766592	2.15050640238339	0.730111113151101	1.80920772919755	0.730111113151101	2.45363175984301	1.65325603415002	3.09174995627017
GmISU01.20G060200.v2.1	5.80561678053277	6.09982492095699	6.0361375275144	6.06412821305516	6.08969055703363	6.70021286074211	6.50418586931425	6.21926788065231	6.2703530719352
GmISU01.20G062100.v2.1	7.64862880789894	7.91467511779148	7.28547719826248	7.24540330085066	7.46763171699605	6.885030527416	6.65759857436182	7.08170404098361	7.08274610796693
GmISU01.20G062300.v2.1	0.730111113151099	2.57932494464582	3.51001361329548	2.58707255210608	3.17659257914835	4.11201070650994	3.56598842215967	3.40309450804281	3.35641548972852
GmISU01.20G062400.v2.1	2.50564929418431	0.730111113151101	0.730111113151099	2.58707255210608	0.730111113151099	0.730111113151101	2.75509888759468	2.21166260905705	0.730111113151101
GmISU01.20G063700.v2.1	2.50564929418431	1.93269743766592	3.82513212285065	3.3727845508803	2.84718712599639	4.84102539616906	3.84692675787211	3.91060903893043	4.09663781703228
GmISU01.20G064500.v2.1	2.50564929418431	0.730111113151101	1.60847877776619	1.93876542824582	2.41960059177111	2.87646438427935	2.07206393116335	2.21166260905705	2.34824134709906
GmISU01.20G064800.v2.1	1.87535064671325	0.730111113151101	2.85217971302475	1.93876542824582	0.730111113151099	0.730111113151101	0.730111113151101	0.730111113151099	0.730111113151101
GmISU01.20G065300.v2.1	0.730111113151099	0.730111113151101	2.15050640238339	0.730111113151101	0.730111113151099	0.730111113151101	2.45363175984301	0.730111113151099	0.730111113151101
GmISU01.20G065800.v2.1	3.54960406854451	2.57932494464582	3.82513212285065	4.40829301823621	3.44459044665279	3.1316983488063	4.61904712325421	4.1708890634613	4.09663781703228
GmISU01.20G065900.v2.1	5.16314296584001	5.08926568272191	5.90836187927709	5.42572480678682	4.87502960797373	5.79866140713138	5.44855742461107	5.22259665315011	5.42149069922399
GmISU01.20G067000.v2.1	4.44361834321792	3.63846189555749	1.60847877776619	3.64775248257715	4.78130728369593	2.17028551607243	1.55179771424122	2.61323655988974	1.75505812597562
GmISU01.20G067100.v2.1	4.14892552029932	0.730111113151101	1.60847877776619	2.58707255210608	0.730111113151099	2.87646438427935	3.40192473349268	3.18460868283151	4.09663781703228
GmISU01.20G067200.v2.1	4.30378333373451	3.86910799259265	4.3027370051736	4.54898166456167	4.33027705326262	3.34849309085556	4.3753592415003	4.66932926632851	4.47627506029878
GmISU01.20G067400.v2.1	5.75281364910131	4.99474252255465	6.23567155665019	5.75111412618692	5.33696591811384	5.90513669876485	6.08443969271523	6.35646840751926	6.20471442672055
GmISU01.20G067700.v2.1	0.730111113151099	0.730111113151101	0.730111113151099	0.730111113151101	0.730111113151099	0.730111113151101	0.730111113151101	2.61323655988974	0.730111113151101
GmISU01.20G068400.v2.1	2.50564929418431	3.63846189555749	6.33841085117827	5.00490008255863	4.33027705326262	5.76134874085143	5.97189835201648	6.0676350303327	5.73220778020783
GmISU01.20G068500.v2.1	3.9754241569277	3.63846189555749	2.15050640238339	5.56480264389672	3.67051777188371	4.22596230305785	3.71328525938119	2.92702580048574	3.57997187417307
GmISU01.20G068800.v2.1	3.27788518944309	4.53903046453342	4.08360888290519	1.93876542824582	3.44459044665279	2.56615843724737	3.21678080684009	4.04661082481412	3.94409244501201
GmISU01.20G069500.v2.1	7.09104614227486	7.39141834590368	7.4778121810156	7.57655555140445	7.80184727112656	8.07060614692813	7.79374881747474	7.87691264819953	7.62464818578043
GmISU01.20G069600.v2.1	6.24857244394251	6.14453781389053	6.0960178082497	5.86316939388405	6.1658425000899	6.03588377831789	6.05711664875896	5.8243912256286	6.30208544252024
GmISU01.20G069700.v2.1	0.730111113151099	1.93269743766592	0.730111113151099	1.93876542824582	3.17659257914835	1.62290493616833	2.75509888759468	2.92702580048574	1.75505812597562
GmISU01.20G070000.v2.1	0.730111113151099	0.730111113151101	0.730111113151099	3.03276901877297	0.730111113151099	0.730111113151101	1.55179771424122	1.65325603415002	1.75505812597562
GmISU01.20G070500.v2.1	4.79652503592604	3.63846189555749	4.19732931865862	4.07756940323428	5.33696591811384	4.76765411330742	5.06544977985358	5.27892439459929	4.86418040851817
GmISU01.20G070800.v2.1	2.9428315711359	3.02423390563672	4.08360888290519	2.58707255210608	2.84718712599639	2.56615843724737	3.56598842215967	4.28530550164863	3.94409244501201
GmISU01.20G070900.v2.1	2.50564929418431	0.730111113151101	1.60847877776619	3.03276901877297	0.730111113151099	2.87646438427935	2.45363175984301	3.18460868283151	3.09174995627017
GmISU01.20G071100.v2.1	0.730111113151099	0.730111113151101	1.60847877776619	1.93876542824582	1.80920772919755	2.17028551607243	2.45363175984301	1.65325603415002	3.09174995627017
GmISU01.20G071400.v2.1	3.77816783378112	4.53903046453342	3.10625448057002	3.87860881783066	4.19143202702976	3.34849309085556	3.40192473349268	3.91060903893043	3.94409244501201
GmISU01.20G071500.v2.1	3.77816783378112	5.34053604920491	5.07215137574278	5.09945847103587	4.33027705326262	5.37336201301841	4.76127878805057	5.27892439459929	5.58519811816884
GmISU01.20G072100.v2.1	1.87535064671325	0.730111113151101	2.54358760202904	3.03276901877297	0.730111113151099	2.17028551607243	3.21678080684009	2.21166260905705	2.7673717069028
GmISU01.20G074300.v2.1	3.54960406854451	1.93269743766592	2.54358760202904	1.93876542824582	1.80920772919755	2.87646438427935	0.730111113151101	2.61323655988974	0.730111113151101
GmISU01.20G075000.v2.1	0.730111113151099	2.57932494464582	2.54358760202904	2.58707255210608	2.41960059177111	0.730111113151101	0.730111113151101	1.65325603415002	0.730111113151101
GmISU01.20G075700.v2.1	6.78406391171258	6.80430539438553	6.20880139724768	6.66830513370611	6.99059724761157	6.36922155062878	6.16343478314605	6.38240950276895	6.36353006900992
GmISU01.20G076000.v2.1	12.259858740873	12.2180269040305	12.4071871263463	12.1208531781999	12.1810504174252	12.6438124982753	12.921067362846	12.6455861244455	12.5096122655205
GmISU01.20G076100.v2.1	5.99939430852043	6.05368181431569	5.07215137574278	5.56480264389672	5.40138637343795	5.68369725122794	5.56951439600321	5.27892439459929	5.63588415308736
GmISU01.20G076200.v2.1	8.48161263626286	8.30770434953685	6.97058158835536	7.62504719541603	8.24962855012168	6.75818569018952	6.23832810167425	7.46829580189591	7.64953008527086
GmISU01.20G076300.v2.1	0.730111113151099	0.730111113151101	5.69259493063182	0.730111113151101	0.730111113151099	2.17028551607243	1.55179771424122	0.730111113151099	0.730111113151101
GmISU01.20G077900.v2.1	3.54960406854451	1.93269743766592	0.730111113151099	0.730111113151101	0.730111113151099	0.730111113151101	0.730111113151101	0.730111113151099	1.75505812597562
GmISU01.20G078000.v2.1	3.77816783378112	3.02423390563672	2.54358760202904	3.64775248257715	3.17659257914835	2.87646438427935	3.40192473349268	2.21166260905705	2.7673717069028
GmISU01.20G079600.v2.1	7.46385970597971	7.46377776022253	7.65746672931047	7.50925554731534	7.88305013681599	7.54235111012948	7.62723709609765	7.50418089696637	7.8015747554082
GmISU01.20G080500.v2.1	6.52536591542448	6.05368181431569	5.87456794510104	6.39761564112311	5.46305280827316	6.57677265802916	6.37737232587287	5.96836375799576	6.50658366746429
GmISU01.20G082800.v2.1	10.0539437810005	10.0521424628822	10.6619927450813	10.3053072508756	9.9819576776844	10.4036736373783	10.1153260552383	10.1906731959569	10.4712657920605
GmISU01.20G083200.v2.1	6.88565906370516	6.85899227573871	7.28547719826248	6.81485992713137	6.1658425000899	7.45156220311016	7.74321230422091	7.08170404098361	6.98837711331056
GmISU01.20G083800.v2.1	4.57108925600646	3.36379243570929	5.39177700948587	4.67716145432488	3.44459044665279	4.11201070650994	3.71328525938119	4.75124921048215	4.58345813958534
GmISU01.20G084000.v2.1	3.77816783378112	4.06791248658041	2.54358760202904	3.64775248257715	3.17659257914835	2.87646438427935	4.08197301880068	4.1708890634613	3.35641548972852
