GeneName	3MT_2-3	3MT_4-3	3MT_5-4	3MT_7-2	3MT_8-2	3MT_9-3	3MT_10-4	3MT_11-3	3MT_12-3	6MT_1-3	6MT_2-2	6MT_3-3	6MT_4-4	6MT_5-4	6MT_6-3	6MT_6-4	6MT_6-5	6MT_8-4	6MT_9-3	Jack-01	Jack-02_B03	Jack-02_B07	Jack-04	Jack-05
GmISU01.01G011100	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1
GmISU01.01G011200	3	1	4	0	0	0	1	0	1	1	3	1	0	0	1	5	1	1	1	1	2	5	2	2
GmISU01.01G011300	2	3	9	2	8	4	3	1	3	4	4	6	1	10	2	6	3	10	6	5	7	12	7	7
GmISU01.01G011400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G011500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G011600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G011700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GmISU01.01G011800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G011900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G011950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G012000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G012100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G012200	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	1	0	0
GmISU01.01G012300	29	20	26	14	13	37	7	20	24	15	28	20	20	37	24	42	26	31	43	18	29	44	32	31
GmISU01.01G012400	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G012500	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G012600	0	0	1	0	0	1	2	0	0	0	1	2	1	0	0	1	0	0	0	0	0	1	0	1
GmISU01.01G012700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G012800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G012900	11	11	11	32	7	11	9	17	12	25	8	22	18	22	11	28	5	18	24	19	29	20	15	23
GmISU01.01G013000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G013100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G013200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G013300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G013400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GmISU01.01G013500	54	45	45	62	51	47	44	34	55	53	59	62	44	61	56	60	49	48	66	74	62	63	57	48
GmISU01.01G013600	2	2	5	3	14	5	5	10	13	11	7	5	2	7	8	0	11	4	1	12	7	0	4	6
GmISU01.01G013700	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GmISU01.01G013800	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G013900	0	2	3	4	1	3	6	2	5	1	3	1	2	0	1	1	1	2	3	0	0	5	0	3
GmISU01.01G014000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G014100	3	8	3	2	5	5	3	3	5	4	1	2	3	6	6	6	10	5	5	11	6	12	8	2
GmISU01.01G014200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G014300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G014400	8	16	15	13	3	15	14	16	18	19	17	17	14	25	11	29	18	16	15	15	34	20	17	16
GmISU01.01G014500	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G014600	1	2	0	0	1	1	3	1	1	2	1	1	0	2	0	1	0	2	0	0	0	0	1	0
GmISU01.01G014700	0	2	0	1	0	1	0	0	1	0	0	0	3	0	0	0	0	0	2	0	0	1	0	0
GmISU01.01G014800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G014900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G015000	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
GmISU01.01G015100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G015200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G015300	1	1	2	4	4	8	1	1	4	2	1	1	1	1	0	2	0	3	2	1	1	4	4	6
GmISU01.01G015400	19	16	27	64	4	14	22	10	12	11	20	40	54	28	33	26	9	41	60	15	14	32	46	20
GmISU01.01G015500	2	1	6	1	2	3	0	1	5	0	4	1	4	3	3	4	2	0	2	1	4	2	2	2
GmISU01.01G015600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G015700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G015800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G015900	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	3	1
GmISU01.01G016000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G016100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G016200	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G016300	169	397	133	389	177	398	396	321	400	340	311	302	230	306	269	208	107	371	241	210	241	137	318	316
GmISU01.01G016400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G016500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G016600	0	1	0	0	0	0	1	0	0	0	0	1	0	1	3	1	0	0	0	0	1	0	0	1
GmISU01.01G016700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G016800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G016900	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G017000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G017100	1	0	0	0	1	1	0	2	0	1	0	0	1	3	0	5	4	0	1	1	1	3	3	4
GmISU01.01G017200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G017300	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
GmISU01.01G017400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G017500	8	4	11	8	2	9	6	3	6	6	5	13	3	8	7	13	12	20	25	7	11	11	3	2
GmISU01.01G017600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G017700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G017800	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1
GmISU01.01G017900	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	2	0	0	1	3	0	0
GmISU01.01G018000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
