genes	Bert.01	Bert.02	Bert.03	Bert.04	Bert.05	WPT0579.03	WPT641.F.3.3	WPT641.F.3.4	WPT642.F.1.3	WPT642.L.6.4	WPT642.L.9.3	WPT647.L.10.2	WPT647.L.10.3	WPT647.L.12.3	WPT648.L.7.4	WPT649.F.1.2	WPT650.L.1.3	WPT650.L.5.3	WPT651.L.3.3	WPT651.L.5.3	WPT651.L.9.1	WPT651.L.9.3	WPT652.F.9.3	WPT652.L.10.3
GmISU01.12G135400.v2.1	4.27242970888169	3.25363052531669	3.48394564625915	5.29931817327654	4.41770812819247	4.92711772282977	3.75384992525821	5.21836254836264	4.25416258898947	4.46157263573607	4.22635706124478	4.73093492249104	4.77383394069374	4.34748719983704	5.5426970481651	4.18191666846355	5.6081830873734	5.26400459636243	5.31797163963059	5.770189516571	4.99265666877784	3.81888362034567	5.4637521964268	5.6205323813269
GmISU01.12G135900.v2.1	0.57272968899687	2.3037692472115	2.81370156868218	0.57272968899687	2.04919109782273	0.57272968899687	0.57272968899687	0.57272968899687	1.83079482989492	2.80034950085533	2.62915067090526	0.57272968899687	0.57272968899687	2.00120941353948	2.3497850090877	0.57272968899687	0.57272968899687	0.57272968899687	1.62642279105993	1.6780116026401	1.62513670213343	0.57272968899687	0.57272968899687	2.25632732159959
GmISU01.12G136200.v2.1	6.66363991955061	6.09148326339074	6.53846877118476	6.27181180998558	6.26776673695486	6.26759327306169	6.11902627273641	5.97644006674666	5.89353681981313	6.56416779956077	6.64633911029183	6.30980124749561	6.21976621059351	6.28957502529103	5.79803888556556	5.64945123727897	6.61208485342588	6.59203899488644	6.74275960486754	6.35713498467976	6.2883866307287	6.04855008853722	6.07105781536092	6.07243525816228
GmISU01.12G136400.v2.1	4.99150468011015	6.37747617127197	4.9350283483032	2.45307681379115	4.32532590411665	4.13446929707724	4.94616481784713	4.22059526789031	5.02402084808524	5.50199285482688	4.34230312864402	3.87588508017406	3.77201840207777	5.38348477450065	4.14836472077785	5.01121025193494	3.78115946296559	5.32857828916998	4.47826157270924	4.07896122151954	4.47594481597655	5.56233150889656	3.60270550737779	4.16505513317518
GmISU01.12G136500.v2.1	0.57272968899687	3.06825569099714	0.57272968899687	1.79974255885106	2.04919109782273	1.6298946005527	2.054730193364	1.54449008079284	1.33475849655222	0.57272968899687	0.57272968899687	0.57272968899687	1.58932025226002	0.57272968899687	0.57272968899687	0.57272968899687	0.57272968899687	0.57272968899687	0.57272968899687	0.57272968899687	0.57272968899687	1.61610292133268	0.57272968899687	0.57272968899687
GmISU01.12G137300.v2.1	2.33769881787528	1.92121495071532	0.57272968899687	0.57272968899687	0.57272968899687	0.57272968899687	2.054730193364	0.57272968899687	2.19922553979576	0.57272968899687	0.57272968899687	2.445052634644	0.57272968899687	0.57272968899687	0.57272968899687	0.57272968899687	0.57272968899687	1.69880126749176	2.22884792165789	1.6780116026401	0.57272968899687	2.63731014957294	0.57272968899687	0.57272968899687
GmISU01.12G137800.v2.1	0.57272968899687	3.06825569099714	2.81370156868218	0.57272968899687	1.49212841678519	1.6298946005527	0.57272968899687	1.54449008079284	2.19922553979576	0.57272968899687	1.61058776956972	1.48887919371599	2.59754453313717	2.39543697063866	3.12228020380432	2.01822779759448	2.75316485847175	0.57272968899687	0.57272968899687	2.29642728561976	1.62513670213343	2.21523815527069	1.70672715232647	1.64733101335847
GmISU01.12G138000.v2.1	3.10811942907992	2.60585045928432	1.52266684859866	2.90112227640412	4.12066344896846	1.6298946005527	3.02779911916342	3.33132997030633	2.94435622470005	2.80034950085533	2.62915067090526	2.445052634644	3.92438478607107	2.70473347748076	0.57272968899687	2.72560648461346	3.08635606473736	1.69880126749176	2.22884792165789	2.7279049104433	2.97761889931696	0.57272968899687	1.70672715232647	3.50570546308211
GmISU01.12G138500.v2.1	0.57272968899687	1.39910376862308	2.09054809820182	0.57272968899687	0.57272968899687	1.6298946005527	0.57272968899687	0.57272968899687	2.73602519294474	1.51451328931661	0.57272968899687	0.57272968899687	0.57272968899687	0.57272968899687	1.71914354078188	2.01822779759448	0.57272968899687	0.57272968899687	0.57272968899687	0.57272968899687	0.57272968899687	0.57272968899687	0.57272968899687	0.57272968899687
GmISU01.12G139150.v2.1	1.70979616416412	2.60585045928432	2.09054809820182	0.57272968899687	3.23902301816279	0.57272968899687	2.7701912965822	1.54449008079284	1.83079482989492	2.48449977107484	0.57272968899687	1.48887919371599	2.17977081288841	2.00120941353948	3.12228020380432	2.72560648461346	1.69549132409064	2.75793279878383	0.57272968899687	0.57272968899687	1.62513670213343	2.21523815527069	0.57272968899687	2.68323323134908
GmISU01.12G140100.v2.1	3.10811942907992	2.3037692472115	2.49696852877966	2.90112227640412	3.42857753375963	2.65764949302845	2.054730193364	2.11991519112741	2.73602519294474	2.48449977107484	3.63834331605031	2.0447724143693	1.58932025226002	2.39543697063866	3.12228020380432	1.46941555489629	2.31915787324576	2.32345284091094	2.65253810620805	3.05960790132756	2.65064317963047	0.57272968899687	0.57272968899687	3.50570546308211
GmISU01.12G140200.v2.1	1.70979616416412	0.57272968899687	3.07326218251589	0.57272968899687	0.57272968899687	0.57272968899687	0.57272968899687	1.54449008079284	0.57272968899687	1.51451328931661	2.20795203818148	1.48887919371599	1.58932025226002	0.57272968899687	0.57272968899687	0.57272968899687	1.69549132409064	0.57272968899687	0.57272968899687	0.57272968899687	0.57272968899687	0.57272968899687	0.57272968899687	0.57272968899687
GmISU01.12G140400.v2.1	3.60764999211341	5.46070599977563	4.9350283483032	2.90112227640412	3.42857753375963	4.58455959775294	3.24630287449221	3.11031433099551	4.66062503751394	3.63747678452574	3.63834331605031	4.31893587832496	3.4084098453316	5.09573834349477	4.64115845613067	5.40951703421221	2.31915787324576	3.58990623468793	3.98991144919326	2.7279049104433	2.97761889931696	5.17815900262462	3.37457125536083	1.64733101335847
GmISU01.12G140500.v2.1	1.70979616416412	1.92121495071532	2.09054809820182	0.57272968899687	2.04919109782273	1.6298946005527	1.49620523787929	3.5229415988092	2.73602519294474	2.48449977107484	3.44438858382603	3.42262976254182	3.60163915876636	3.93785683373203	2.3497850090877	2.98114837392346	2.75316485847175	2.75793279878383	2.65253810620805	1.6780116026401	2.65064317963047	2.96344253623085	3.37457125536083	3.01223578812903
GmISU01.12G142200.v2.1	3.10811942907992	3.82148527513007	3.48394564625915	3.94926001327308	4.12066344896846	4.58455959775294	3.88985865025562	4.84052110385527	4.33036405786959	4.78195922191374	4.10027188721807	4.99244769766421	4.99648553828091	4.66616126051615	4.83609799952673	4.76142211182448	4.24813262962557	4.11421037803906	4.37078465625481	5.01403816941126	3.98766147479005	4.97598239494007	5.13945598425703	4.70958546804382
GmISU01.12G142300.v2.1	0.57272968899687	1.39910376862308	0.57272968899687	0.57272968899687	0.57272968899687	2.23341956381918	1.49620523787929	0.57272968899687	1.33475849655222	2.80034950085533	0.57272968899687	2.75805335748517	1.58932025226002	2.70473347748076	2.3497850090877	0.57272968899687	0.57272968899687	1.69880126749176	0.57272968899687	0.57272968899687	2.22715352765532	2.21523815527069	2.76933045400146	1.64733101335847
GmISU01.12G142400.v2.1	3.60764999211341	5.07418459287164	6.05796521942789	4.54991799255352	5.05763119803697	4.84879842489966	4.12856403085279	4.91077216638423	4.7741161379702	5.21331828593286	4.73064924158137	3.42262976254182	5.12786527546981	5.95121020079788	5.79803888556556	5.64945123727897	4.70093060138846	5.26400459636243	4.99502333711831	5.35316632058734	5.31558173036525	5.86541859604301	4.26723107316815	5.1713890466961
GmISU01.12G142500.v2.1	3.37939776096721	1.39910376862308	3.80325499842941	2.90112227640412	3.42857753375963	0.57272968899687	2.7701912965822	2.11991519112741	1.83079482989492	3.46925556930028	1.61058776956972	1.48887919371599	0.57272968899687	0.57272968899687	3.3940619555058	1.46941555489629	3.35685065564777	3.36207922238249	0.57272968899687	1.6780116026401	3.46879289813199	2.21523815527069	1.70672715232647	3.2799673025244
GmISU01.12G142800.v2.1	0.57272968899687	1.92121495071532	1.52266684859866	0.57272968899687	2.45007371391179	0.57272968899687	2.054730193364	1.54449008079284	1.83079482989492	1.51451328931661	0.57272968899687	1.48887919371599	2.59754453313717	2.39543697063866	1.71914354078188	1.46941555489629	0.57272968899687	0.57272968899687	2.22884792165789	1.6780116026401	1.62513670213343	1.61610292133268	2.33372555706401	0.57272968899687
